title,pubDate,guid,link,description
The Russians using emojis to evade censors,"Thu, 10 Mar 2022 01:29:13 GMT",https://www.bbc.co.uk/news/60649725,https://www.bbc.co.uk/news/60649725?at_medium=RSS&at_campaign=KARANGA,"Amid a protest crackdown, young people are still risking freedom to oppose the conflict in Ukraine."
Ukraine war: Children of the Soviet era running from Russia,"Wed, 09 Mar 2022 22:47:30 GMT",https://www.bbc.co.uk/news/world-europe-60685723,https://www.bbc.co.uk/news/world-europe-60685723?at_medium=RSS&at_campaign=KARANGA,A veteran of the Soviet-Afghan war is among many older Ukrainians now seeking refuge abroad.
Ros Atkins on... food price rises and the Ukraine war,"Wed, 09 Mar 2022 22:14:35 GMT",https://www.bbc.co.uk/news/world-60682966,https://www.bbc.co.uk/news/world-60682966?at_medium=RSS&at_campaign=KARANGA,Ros Atkins looks at why global food price rises appear inevitable as a consequence of Russia invading Ukraine.
Ukraine war: UK Home Office is in crisis mode over visas,"Wed, 09 Mar 2022 19:20:49 GMT",https://www.bbc.co.uk/news/uk-60682454,https://www.bbc.co.uk/news/uk-60682454?at_medium=RSS&at_campaign=KARANGA,The department is trying to convince an increasingly sceptical nation it has control of the situation.
Ukraine conflict: Your guide to understanding day 14,"Wed, 09 Mar 2022 21:16:53 GMT",https://www.bbc.co.uk/news/world-europe-60683269,https://www.bbc.co.uk/news/world-europe-60683269?at_medium=RSS&at_campaign=KARANGA,A hospital is attacked as civilians try to escape. Here is your guide to the 14th day of fighting.
The Papers: 'Barbaric' children's hospital bombing 'a new low',"Thu, 10 Mar 2022 04:55:11 GMT",https://www.bbc.co.uk/news/blogs-the-papers-60685574,https://www.bbc.co.uk/news/blogs-the-papers-60685574?at_medium=RSS&at_campaign=KARANGA,A picture of a pregnant woman being carried from the wreckage in Mariupol dominates the papers.
Dolly Parton partners with James Patterson for first novel,"Thu, 10 Mar 2022 00:01:14 GMT",https://www.bbc.co.uk/news/entertainment-arts-60609363,https://www.bbc.co.uk/news/entertainment-arts-60609363?at_medium=RSS&at_campaign=KARANGA,Dolly Parton has written her first novel with the help of best-selling author James Patterson.
Encanto director invites glasses 'hero' schoolgirl Lowri to Baftas,"Wed, 09 Mar 2022 12:59:39 GMT",https://www.bbc.co.uk/news/uk-england-nottinghamshire-60677889,https://www.bbc.co.uk/news/uk-england-nottinghamshire-60677889?at_medium=RSS&at_campaign=KARANGA,The 12-year-old wrote to Disney three years ago asking them to create a lead female character with glasses.
Endurance: Underwater robots find Shackleton's lost ship,"Wed, 09 Mar 2022 14:35:52 GMT",https://www.bbc.co.uk/news/science-environment-60670325,https://www.bbc.co.uk/news/science-environment-60670325?at_medium=RSS&at_campaign=KARANGA,Video captured by underwater robots of the shipwreck shows Endurance to be in remarkable condition.
Halifax Acapulco club sells off sticky carpet,"Wed, 09 Mar 2022 11:51:32 GMT",https://www.bbc.co.uk/news/uk-england-leeds-60673798,https://www.bbc.co.uk/news/uk-england-leeds-60673798?at_medium=RSS&at_campaign=KARANGA,"The boss of Halifax's Acapulco club says its ""crazy"" floor covering holds years of memories."
The Capitol riot trial that tore a family apart,"Wed, 09 Mar 2022 23:35:41 GMT",https://www.bbc.co.uk/news/world-us-canada-60671723,https://www.bbc.co.uk/news/world-us-canada-60671723?at_medium=RSS&at_campaign=KARANGA,"Guy Reffitt was convicted of taking part in the 6 January riots, in part due to testimony from his own son."
Fact-checking PM's claim about refugees,"Wed, 09 Mar 2022 18:22:06 GMT",https://www.bbc.co.uk/news/60679290,https://www.bbc.co.uk/news/60679290?at_medium=RSS&at_campaign=KARANGA,The PM claimed the UK had done more to resettle vulnerable people than any other European country.
Israel's Bennett plays peacemaker in Ukraine-Russia war,"Thu, 10 Mar 2022 00:57:16 GMT",https://www.bbc.co.uk/news/world-middle-east-60679175,https://www.bbc.co.uk/news/world-middle-east-60679175?at_medium=RSS&at_campaign=KARANGA,"Prime Minister Naftali Bennett is an unlikely mediator between Kyiv and Moscow, Tom Bateman says."
Winter Paralympics: 'I chose to have my leg amputated after years of pain',"Thu, 10 Mar 2022 01:16:37 GMT",https://www.bbc.co.uk/news/disability-60642118,https://www.bbc.co.uk/news/disability-60642118?at_medium=RSS&at_campaign=KARANGA,Musician Shona chose to have her leg amputated after years of pain - now she's a Paralympian.
Drought robs Amazon communities of 'life-giving' river,"Thu, 10 Mar 2022 01:13:51 GMT",https://www.bbc.co.uk/news/world-latin-america-60601711,https://www.bbc.co.uk/news/world-latin-america-60601711?at_medium=RSS&at_campaign=KARANGA,Low water levels mean riverside communities lose much of their income and their mode of transport.
Kidney donor: I call my remaining one Home Alone Kevin,"Thu, 10 Mar 2022 01:18:17 GMT",https://www.bbc.co.uk/news/health-60661268,https://www.bbc.co.uk/news/health-60661268?at_medium=RSS&at_campaign=KARANGA,"Azeem Ahmad, who donated one of his kidneys to a stranger, says, years on, he still has no regrets."
The Marvellous Neil Baldwin is back to make us feel better,"Thu, 10 Mar 2022 01:20:18 GMT",https://www.bbc.co.uk/news/entertainment-arts-60624134,https://www.bbc.co.uk/news/entertainment-arts-60624134?at_medium=RSS&at_campaign=KARANGA,"Baldwin was played by Toby Jones in the Bafta-winning BBC film Marvellous, which is now on stage."
England in West Indies: Tourists bowlers blunted on attritional second day in Antigua,"Wed, 09 Mar 2022 23:00:57 GMT",https://www.bbc.co.uk/sport/cricket/60665830,https://www.bbc.co.uk/sport/cricket/60665830?at_medium=RSS&at_campaign=KARANGA,A mixed showing from England's bowlers allows West Indies to edge an attritional second day of the first Test in Antigua.
'It's a team award' - Woods gives emotional speech in Hall of Fame induction,"Thu, 10 Mar 2022 06:27:14 GMT",https://www.bbc.co.uk/sport/golf/60684073,https://www.bbc.co.uk/sport/golf/60684073?at_medium=RSS&at_campaign=KARANGA,An emotional Tiger Woods chokes back the tears as he is inducted into the World Golf Hall of Fame on Wednesday after a moving speech by his 14-year-old daughter Sam.
Women share stories of running in public and their safety concerns,"Thu, 10 Mar 2022 06:16:00 GMT",https://www.bbc.co.uk/sport/athletics/60670632,https://www.bbc.co.uk/sport/athletics/60670632?at_medium=RSS&at_campaign=KARANGA,Is it too dark? Should I wear something different? BBC Sport looks at the reality of being a woman out running and what is done to make it safer.
Mazepin & father added to list of wealthy Russians sanctioned by EU,"Wed, 09 Mar 2022 18:01:15 GMT",https://www.bbc.co.uk/sport/formula1/60678476,https://www.bbc.co.uk/sport/formula1/60678476?at_medium=RSS&at_campaign=KARANGA,Ex-Haas driver Nikita Mazepin and his father Dmitry are added to a list of Russians sanctioned over the invasion of Ukraine.
Man City comfortably into Champions League last eight with draw,"Wed, 09 Mar 2022 23:26:53 GMT",https://www.bbc.co.uk/sport/football/60666631,https://www.bbc.co.uk/sport/football/60666631?at_medium=RSS&at_campaign=KARANGA,"Manchester City manager Pep Guardiola says he has learned to ""enjoy the moment"" as his side cruise into the quarter-finals of the Champions League with a 0-0 draw against Sporting Lisbon."
"'A crazy experience' - Liverpool's Harvey Elliott on injury, recovery and Champions League history","Thu, 10 Mar 2022 06:03:58 GMT",https://www.bbc.co.uk/sport/av/football/60685483,https://www.bbc.co.uk/sport/av/football/60685483?at_medium=RSS&at_campaign=KARANGA,MOTDx meets Liverpool midfielder Harvey Elliott to discuss his family's role in his recovery from serious injury and their pride in his place in Champions League history
On the front line of the battle for Kharkiv,"Thu, 10 Mar 2022 17:04:13 GMT",https://www.bbc.co.uk/news/world-europe-60693166,https://www.bbc.co.uk/news/world-europe-60693166?at_medium=RSS&at_campaign=KARANGA,Quentin Sommerville and cameraman Darren Conway are with Ukrainian forces fighting to stop the Russian advance on the country's second city.
Ukraine war: Large Russian convoy redeploys near Kyiv - satellite images,"Fri, 11 Mar 2022 05:38:49 GMT",https://www.bbc.co.uk/news/world-europe-60702464,https://www.bbc.co.uk/news/world-europe-60702464?at_medium=RSS&at_campaign=KARANGA,"The convoy has now largely dispersed, with artillery set up in firing positions, a US company says."
Ukraine war: People can welcome refugees into own homes - PM,"Fri, 11 Mar 2022 03:39:26 GMT",https://www.bbc.co.uk/news/uk-60701941,https://www.bbc.co.uk/news/uk-60701941?at_medium=RSS&at_campaign=KARANGA,"Details of a sponsorship visa scheme to host Ukrainians will be revealed on Monday, Boris Johnson says."
Ukraine conflict: Growing numbers of firms pull back from Russia,"Fri, 11 Mar 2022 00:52:35 GMT",https://www.bbc.co.uk/news/business-60571133,https://www.bbc.co.uk/news/business-60571133?at_medium=RSS&at_campaign=KARANGA,Reputational risk and practical difficulties are making it harder to do business in the country.
Twitter blocks Russian claims on hospital attack,"Thu, 10 Mar 2022 21:39:26 GMT",https://www.bbc.co.uk/news/technology-60700642,https://www.bbc.co.uk/news/technology-60700642?at_medium=RSS&at_campaign=KARANGA,Posts from the Russian embassy in the UK claiming the bombing of a maternity hospital was faked have been taken down.
War in Ukraine: Facebook to allow calls for violence against Putin,"Fri, 11 Mar 2022 03:05:42 GMT",https://www.bbc.co.uk/news/technology-60702619,https://www.bbc.co.uk/news/technology-60702619?at_medium=RSS&at_campaign=KARANGA,"Meta, the owner of Facebook and Instagram, will temporarily make allowances for some violent speech."
Jussie Smollett sentenced to 150 days in jail in attack hoax case,"Fri, 11 Mar 2022 01:58:32 GMT",https://www.bbc.co.uk/news/world-us-canada-60695975,https://www.bbc.co.uk/news/world-us-canada-60695975?at_medium=RSS&at_campaign=KARANGA,"A Chicago judge told Jussie Smollett that he has ""turned his life upside down"" with the hoax."
"N Korea tested long-range missiles, says US","Fri, 11 Mar 2022 02:09:46 GMT",https://www.bbc.co.uk/news/world-asia-60702463,https://www.bbc.co.uk/news/world-asia-60702463?at_medium=RSS&at_campaign=KARANGA,The US says the two recent tests were a 'serious escalation' and vows to further sanction N Korea.
Ukraine war: Roman Abramovich sanctioned by UK,"Thu, 10 Mar 2022 22:20:51 GMT",https://www.bbc.co.uk/news/uk-politics-60690362,https://www.bbc.co.uk/news/uk-politics-60690362?at_medium=RSS&at_campaign=KARANGA,Chelsea FC owner Roman Abramovich one of seven oligarchs sanctioned by the UK government.
Fans chant Abramovich's name at Chelsea win,"Thu, 10 Mar 2022 22:04:47 GMT",https://www.bbc.co.uk/sport/football/60597807,https://www.bbc.co.uk/sport/football/60597807?at_medium=RSS&at_campaign=KARANGA,Chelsea beat bottom club Norwich as Mason Mount scores one and makes another on the day his club's long-term future is thrown into uncertainty.
Covid deaths probably three times higher than records say,"Fri, 11 Mar 2022 00:19:39 GMT",https://www.bbc.co.uk/news/health-60690251,https://www.bbc.co.uk/news/health-60690251?at_medium=RSS&at_campaign=KARANGA,"Official records say six million have died, but the true figure may be over 18 million, say researchers."
UK Covid inquiry draft terms of reference set out,"Fri, 11 Mar 2022 03:41:07 GMT",https://www.bbc.co.uk/news/uk-60697093,https://www.bbc.co.uk/news/uk-60697093?at_medium=RSS&at_campaign=KARANGA,The probe will look at areas including preparedness and the public health response to the pandemic.
"Covid pandemic fuels deepening education inequalities in England, say MPs","Fri, 11 Mar 2022 00:39:33 GMT",https://www.bbc.co.uk/news/education-60683839,https://www.bbc.co.uk/news/education-60683839?at_medium=RSS&at_campaign=KARANGA,"A report says school closures damaged learning in England, with big regional differences."
"Watch: Our correspondent on the front line, with Ukraine’s troops","Thu, 10 Mar 2022 22:47:46 GMT",https://www.bbc.co.uk/news/world-europe-60699588,https://www.bbc.co.uk/news/world-europe-60699588?at_medium=RSS&at_campaign=KARANGA,The BBC spent a week with Ukrainian forces in Kharkiv as they fight to stop a further Russian advance.
Ukraine war: Images reveal scale of destruction in Mariupol,"Thu, 10 Mar 2022 16:53:10 GMT",https://www.bbc.co.uk/news/world-europe-60695465,https://www.bbc.co.uk/news/world-europe-60695465?at_medium=RSS&at_campaign=KARANGA,"Photos and satellite images show the devastation caused to the southern Ukrainian city, which is encircled by Russian troops."
"Ukraine war: 'I have 20 children here, please send help'","Fri, 11 Mar 2022 00:01:01 GMT",https://www.bbc.co.uk/news/world-europe-60667515,https://www.bbc.co.uk/news/world-europe-60667515?at_medium=RSS&at_campaign=KARANGA,Tens of thousands of children in Ukrainian state care are in desperate need to get out of the country.
"What is a war crime, and could Putin be prosecuted over Ukraine?","Thu, 10 Mar 2022 12:14:57 GMT",https://www.bbc.co.uk/news/world-60690688,https://www.bbc.co.uk/news/world-60690688?at_medium=RSS&at_campaign=KARANGA,"If Russia has carried out war crimes in Ukraine, how could Putin or senior officers be brought to justice?"
War in Ukraine: A family's 'torturous' UK visa chase,"Thu, 10 Mar 2022 17:49:20 GMT",https://www.bbc.co.uk/news/world-europe-60695436,https://www.bbc.co.uk/news/world-europe-60695436?at_medium=RSS&at_campaign=KARANGA,Luke Morgan has spent the last fortnight helping his wife's family get to the UK from Ukraine.
Ukraine: What sanctions are being imposed on Russia?,"Thu, 10 Mar 2022 17:16:09 GMT",https://www.bbc.co.uk/news/world-europe-60125659,https://www.bbc.co.uk/news/world-europe-60125659?at_medium=RSS&at_campaign=KARANGA,Western nations have imposed severe sanctions on Russia over its invasion of Ukraine.
Ukraine: What happened on day 15 of Russia's invasion,"Thu, 10 Mar 2022 22:02:16 GMT",https://www.bbc.co.uk/news/world-europe-60697521,https://www.bbc.co.uk/news/world-europe-60697521?at_medium=RSS&at_campaign=KARANGA,On the frontline in the battle for Kharkiv - and Ukrainians rescue their grandmothers from Russian shelling.
Ukraine war: Column of Russian tanks ambushed by Ukrainian forces,"Thu, 10 Mar 2022 16:44:30 GMT",https://www.bbc.co.uk/news/world-europe-60699332,https://www.bbc.co.uk/news/world-europe-60699332?at_medium=RSS&at_campaign=KARANGA,Drone footage appears to show Russian tanks under attack on the outskirts of Kyiv.
WATCH: Disposal experts defuse unexploded bomb in Ukraine,"Thu, 10 Mar 2022 09:12:48 GMT",https://www.bbc.co.uk/news/world-europe-60689562,https://www.bbc.co.uk/news/world-europe-60689562?at_medium=RSS&at_campaign=KARANGA,An unexploded 500kg (1102lb) bomb was discovered in Chernihiv in northern Ukraine.
Roman Abramovich: What do Russian owner's sanctions mean for Chelsea?,"Thu, 10 Mar 2022 19:05:17 GMT",https://www.bbc.co.uk/sport/football/60684038,https://www.bbc.co.uk/sport/football/60684038?at_medium=RSS&at_campaign=KARANGA,What do sanctions imposed on Roman Abramovich mean for Chelsea and the club's supporters? BBC Sport answers some of the key questions.
What is a thermobaric or vacuum bomb?,"Thu, 10 Mar 2022 11:34:56 GMT",https://www.bbc.co.uk/news/business-60571395,https://www.bbc.co.uk/news/business-60571395?at_medium=RSS&at_campaign=KARANGA,"What is a thermobaric or vacuum bomb, and why is Russia using them in the war in Ukraine?"
The Papers: 'Roman empire falls' and 'hotline to host refugees',"Fri, 11 Mar 2022 05:29:57 GMT",https://www.bbc.co.uk/news/blogs-the-papers-60701820,https://www.bbc.co.uk/news/blogs-the-papers-60701820?at_medium=RSS&at_campaign=KARANGA,"Claims the Chelsea owner has ""blood on his hands"" and a plea to host refugees feature in the papers."
Quiz of the week: Who helped Dolly write a novel?,"Thu, 10 Mar 2022 17:35:44 GMT",https://www.bbc.co.uk/news/world-60685025,https://www.bbc.co.uk/news/world-60685025?at_medium=RSS&at_campaign=KARANGA,How closely have you been paying attention to what's been going on during the past seven days?
'I just don't think we're being listened to',"Fri, 11 Mar 2022 04:26:46 GMT",https://www.bbc.co.uk/news/world-us-canada-60698394,https://www.bbc.co.uk/news/world-us-canada-60698394?at_medium=RSS&at_campaign=KARANGA,The BBC spoke to four black women about their experiences with pregnancy loss in the US healthcare system.
Russia-Ukraine war: Foreign fighters go to join defence,"Fri, 11 Mar 2022 00:02:52 GMT",https://www.bbc.co.uk/news/world-europe-60696603,https://www.bbc.co.uk/news/world-europe-60696603?at_medium=RSS&at_campaign=KARANGA,"Nearly 20,000 international volunteers have signed up to fight alongside Ukrainian forces, officials say."
Ukraine war: Indian students on the trauma of escaping,"Thu, 10 Mar 2022 14:23:59 GMT",https://www.bbc.co.uk/news/world-asia-60689267,https://www.bbc.co.uk/news/world-asia-60689267?at_medium=RSS&at_campaign=KARANGA,The BBC follows some of the thousands of students who've been evacuated from the war.
UK boy donates teddy bear to Ukrainian child,"Thu, 10 Mar 2022 16:50:38 GMT",https://www.bbc.co.uk/news/uk-england-tees-60697946,https://www.bbc.co.uk/news/uk-england-tees-60697946?at_medium=RSS&at_campaign=KARANGA,Will decided to help after finding out from his mum a war was taking place.
Classic Queen cover art for A Day at the Races sells for £28k,"Thu, 10 Mar 2022 17:17:35 GMT",https://www.bbc.co.uk/news/uk-england-wiltshire-60693220,https://www.bbc.co.uk/news/uk-england-wiltshire-60693220?at_medium=RSS&at_campaign=KARANGA,"The piece was by David Costa, an artist who worked with Elton John, The Beatles and Queen."
Gracie Spinks: Receipt could have traced killer - family,"Fri, 11 Mar 2022 02:07:24 GMT",https://www.bbc.co.uk/news/uk-england-derbyshire-60525625,https://www.bbc.co.uk/news/uk-england-derbyshire-60525625?at_medium=RSS&at_campaign=KARANGA,A bag of weapons found before she died has been linked to killer Michael Sellers.
Climate change: Can the Russian energy crisis help to curb global heating?,"Fri, 11 Mar 2022 01:59:25 GMT",https://www.bbc.co.uk/news/uk-politics-60683929,https://www.bbc.co.uk/news/uk-politics-60683929?at_medium=RSS&at_campaign=KARANGA,"An energy strategy is due - but can it get the UK off Russian gas, cut bills and help the environment?"
Does your boss really care what you think?,"Fri, 11 Mar 2022 00:09:13 GMT",https://www.bbc.co.uk/news/business-60381024,https://www.bbc.co.uk/news/business-60381024?at_medium=RSS&at_campaign=KARANGA,The real reasons companies are making an extra effort to find out if their staff are happy or not.
Timbuktu manuscripts: Mali's ancient documents captured online,"Thu, 10 Mar 2022 17:10:58 GMT",https://www.bbc.co.uk/news/world-africa-60689699,https://www.bbc.co.uk/news/world-africa-60689699?at_medium=RSS&at_campaign=KARANGA,"The thousands of manuscripts contain centuries of African writing on maths, medicine and more."
Ukraine war: How reliant is the world on Russia for oil and gas?,"Thu, 10 Mar 2022 11:22:57 GMT",https://www.bbc.co.uk/news/58888451,https://www.bbc.co.uk/news/58888451?at_medium=RSS&at_campaign=KARANGA,Russia has threatened to cut off gas supplies if countries ban its oil.
"'As long as we have enough shirts and a bus, we'll be there' - Chelsea bosses vow to carry on","Thu, 10 Mar 2022 23:37:13 GMT",https://www.bbc.co.uk/sport/football/60700515,https://www.bbc.co.uk/sport/football/60700515?at_medium=RSS&at_campaign=KARANGA,Thomas Tuchel says Chelsea face an uncertain future but vows the team will keep competing on the pitch.
England toil as Bonner hits century to put West Indies on top,"Thu, 10 Mar 2022 22:32:58 GMT",https://www.bbc.co.uk/sport/cricket/60696847,https://www.bbc.co.uk/sport/cricket/60696847?at_medium=RSS&at_campaign=KARANGA,An uninspiring England toil as Nkrumah Bonner's determined century puts West Indies on top after day three of the first Test in Antigua.
Commanding Rangers take big step towards Europa League quarter-finals,"Thu, 10 Mar 2022 22:24:57 GMT",https://www.bbc.co.uk/sport/football/60594728,https://www.bbc.co.uk/sport/football/60594728?at_medium=RSS&at_campaign=KARANGA,Rangers take a significant step towards the Europa League quarter-finals with a pulsating statement win over Red Star Belgrade at a raucous Ibrox.
Formula 1 testing: Red Bull unhappy with Mercedes upgrade in Bahrain,"Thu, 10 Mar 2022 16:18:16 GMT",https://www.bbc.co.uk/sport/formula1/60697803,https://www.bbc.co.uk/sport/formula1/60697803?at_medium=RSS&at_campaign=KARANGA,Mercedes are at the centre of a row over the legality of their car after introducing a radical new design at the second pre-season test.
Chelsea: Thomas Tuchel has faith in those in charge of club's future,"Thu, 10 Mar 2022 23:32:35 GMT",https://www.bbc.co.uk/sport/av/football/60697159,https://www.bbc.co.uk/sport/av/football/60697159?at_medium=RSS&at_campaign=KARANGA,Chelsea manager Thomas Tuchel is hopeful a solution will be found to keep the club going after sanctions were imposed on owner Roman Abramovich.
Chelsea thrash West Ham at end of 'difficult day' for club,"Thu, 10 Mar 2022 22:36:45 GMT",https://www.bbc.co.uk/sport/football/60597800,https://www.bbc.co.uk/sport/football/60597800?at_medium=RSS&at_campaign=KARANGA,Chelsea bounce back from their Continental Cup final defeat and thrash West Ham to go within five points of league leaders Arsenal with two games in hand.
Ukraine war: Kyiv prepares for Russian attack,"Fri, 11 Mar 2022 20:04:59 GMT",https://www.bbc.co.uk/news/world-europe-60714515,https://www.bbc.co.uk/news/world-europe-60714515?at_medium=RSS&at_campaign=KARANGA,"As Russian forces continue their slow advance, Kyiv's residents fear the worst for their city."
